id_bien;numero_voie;type_voie;voie;surface_carrez;type_local;nombre_pieces;code_departement;code_commune
10139;11;RUE;MATHELIN RODIER;84.4;Maison;4;44;109
10140;164;BD;DES ANGLAIS;76.49;Appartement;4;44;109
10141;5;RUE;JEAN CABUT DIT CABU;77.66;Appartement;4;44;190
10142;55;RUE;GEORGES LAFONT;67.78;Appartement;4;44;109
10143;5;RUE;CHARLES VIAUD;54.09;Appartement;2;44;109
10144;13;RUE;JEAN JACQUES ROUSSEAU;97.21;Appartement;4;44;109
10145;1;ALL;ARTHUR CHRISTIANSEN;66.29;Appartement;3;44;190
10146;38;AV;DES THEBAUDIERES;64.95;Appartement;3;44;162
10147;11;RUE;DES DEPORTES;34.37;Appartement;1;44;190
10148;18;BD;DU MASSACRE;52.84;Appartement;3;44;162
10149;5;BD;JEAN XXIII;77.9;Appartement;1;44;109
10150;11;RUE;DE LA HAUTE MITRIE;64;Appartement;3;44;109
10151;17;BD;VINCENT GACHE;62.9;Appartement;3;44;109
10152;25;RUE;PETITE BIESSE;34.55;Appartement;2;44;109
10153;14;BD;ALBERT EINSTEIN;63.29;Appartement;3;44;109
10154;18;RUE;PAUL BELLAMY;558.87;Appartement;9;44;109
10155;16;RUE;JEAN BAPTISTE ROBERT;70.51;Appartement;4;44;190
10156;3;RUE;DE LA FOSSE;41.9;Appartement;1;44;109
10157;30;BD;ALBERT EINSTEIN;19.81;Appartement;1;44;109
10158;9;RUE;DU CHER;18.55;Appartement;1;44;109
10159;13;ALL;CHARLES LINDBERGH;124.32;Maison;6;44;162
10160;9001;RUE;JOSETTE BOCQ;67.6;Appartement;4;44;109
10161;9001;RUE;JOSETTE BOCQ;67.1;Appartement;4;44;109
10162;4;BD;DU MASSACRE;39.17;Appartement;2;44;162
10163;20;RUE;DE L ALLOUEE;68.76;Appartement;4;44;109
10164;30;RUE;SATURNE;80.73;Maison;4;44;162
10165;5;ALL;DE LA CITE;48.61;Appartement;2;44;109
10166;11;RUE;DE LA LOIRE;29;Appartement;2;44;190
10167;2;RUE;DE L ORNE;64.14;Appartement;3;44;162
10168;134;RUE;DE LA JAUNAIE;46.07;Appartement;2;44;190
10169;12;RUE;DES CHARENTES;72.15;Maison;4;44;190
10170;19;BD;AMIRAL COURBET;63.36;Appartement;1;44;109
10171;134;RUE;DU CROISSANT;78.79;Appartement;4;44;109
10172;104;RUE;DU CORPS DE GARDE;39.77;Appartement;2;44;109
10173;54;RUE;DU CROISSANT;67.3;Appartement;3;44;109
10174;3;RUE;SANTOS DUMONT;57.01;Appartement;3;44;109
10175;5;RUE;CHARLES VIAUD;51;Appartement;2;44;109
10176;13;RUE;DE PORT LA BLANCHE;65.98;Appartement;3;44;109
10177;4;RUE;PAUL DUBOIS;18.63;Appartement;1;44;109
10178;19;BD;WINSTON CHURCHILL;64.76;Appartement;3;44;162
10179;5;RUE;JULES GRANDJOUAN;64;Appartement;3;44;109
10180;2;PL;JEAN V;42.5;Appartement;1;44;109
10181;9;RUE;DE LA PAIX;103.3;Appartement;4;44;109
10182;123;BD;JULES VERNE;17.83;Appartement;1;44;109
10183;45;AV;JOSE MARIA DE HEREDIA;93.34;Appartement;5;44;109
10184;1;RUE;DU ROI ALBERT;34.63;Appartement;1;44;109
10185;28;RUE;FREDERIC CHOPIN;50.6;Maison;3;44;190
10186;2;ALL;BEAU RIVAGE;85.77;Appartement;4;44;109
10187;38;RUE;FELIX LEMOINE;77.77;Appartement;4;44;109
10188;265;RTE;DE CLISSON;61.71;Appartement;3;44;190
10189;21;RUE;DE LA PATOUILLERIE;68.83;Appartement;3;44;109
10190;2;AV;DE FRANCE;33.1;Appartement;2;44;109
10191;5;RUE;ALFRED KASTLER;23.15;Appartement;1;44;109
10192;50;RUE;ST JACQUES;21.91;Appartement;2;44;109
10193;8;ALL;D ERDRE;12.32;Appartement;1;44;109
10194;9001;RUE;JOSETTE BOCQ;55.7;Appartement;3;44;109
10195;2;RUE;SOURDEAC;84.38;Appartement;4;44;109
10196;63;AV;DES GRANDS BOIS;106.23;Maison;4;44;162
10197;87;BD;DES AMERICAINS;101.71;Maison;5;44;109
10198;9;RUE;DE LA PETITE SENSIVE;21.64;Appartement;1;44;109
10199;9001;RUE;JOSETTE BOCQ;51.4;Appartement;3;44;109
10200;36;QUAI;DE MALAKOFF;94.74;Appartement;4;44;109
10201;3;RUE;DES IRLANDAIS;70.58;Appartement;4;44;162
10202;57;RTE;DE STE LUCE;78.23;Appartement;4;44;109
10203;20;;LE VAL JOLI;69.92;Appartement;4;44;190
10204;2;RUE;MARCEL MARNIER;58.4;Maison;3;44;162
10205;37;RUE;DE LA MICHAUDIERE;44.3;Appartement;2;44;109
10206;20;;LE VAL JOLI;70.24;Appartement;4;44;190
10207;2;RUE;ROGER FRISON ROCHE;64.05;Appartement;3;44;109
10208;9001;RUE;JOSETTE BOCQ;50.7;Appartement;3;44;109
10209;2;PL;DE LA REPUBLIQUE;107.03;Appartement;4;44;109
10210;7;RUE;ALFRED SISLEY;93.92;Maison;5;44;162
10211;27;RUE;DE LA FERME DU RU;62.81;Appartement;3;44;109
10212;5;RUE;SULLY;138.82;Maison;5;44;109
10213;54;RUE;MAL JOFFRE;38.3;Appartement;1;44;109
10214;2;RUE;DE CONCARNEAU;53.6;Appartement;2;44;109
10215;24;RUE;SATURNE;80.56;Maison;4;44;162
10216;1;RUE;LEKAIN;71;Appartement;2;44;109
10217;41;RUE;BOUGAINVILLE;17.45;Appartement;1;44;109
10218;10;RUE;D EVREUX;151.02;Maison;5;44;162
10219;15;RUE;DE LA JOHARDIERE;72.75;Maison;3;44;162
10220;2;AV;MAURICE UTRILLO;59.87;Appartement;3;44;109
10221;9;ALL;DU COLVERT;43.74;Appartement;2;44;109
10222;7;RUE;DE MORLAIX;74.54;Appartement;4;44;162
10223;5;RUE;NICOLAS APPERT;79.02;Appartement;4;44;109
10224;19;RUE;MERCOEUR;13.5;Appartement;1;44;109
10225;6;RUE;GAMBETTA;27.65;Appartement;5;44;109
10226;23;RUE;DU DOCTEUR ALFRED CORLAY;38.4;Appartement;2;44;162
10227;21;RUE;DORGERE;19.26;Appartement;1;44;109
10228;3;RUE;DES PATURES;35.86;Appartement;2;44;074
10229;15;RUE;DE LA JOHARDIERE;92;Maison;4;44;162
10230;26;IMP;DE LA BLANCHE;79.48;Maison;4;44;162
10231;5;RUE;TOULMOUCHE;44.81;Appartement;2;44;109
10232;2;PL;PAUL EMILE LADMIRAULT;51.44;Appartement;2;44;109
10233;14;RUE;DE LA GALTIERE;61.05;Appartement;3;44;190
